Ortholog group	Number of genomes	Example accession	Description	Red_Sea_only
pelag14533	1	Pelagibacter_AAA795-B16_00046	hypothetical protein	True
pelag14534	1	Pelagibacter_AAA795-B16_00132	hypothetical protein	True
pelag14535	1	Pelagibacter_AAA795-B16_00133	hypothetical protein	True
pelag14536	1	Pelagibacter_AAA795-B16_00135	hypothetical protein	True
pelag14537	1	Pelagibacter_AAA795-B16_00136	hypothetical protein	True
pelag14538	1	Pelagibacter_AAA795-B16_00138	Cytidylate kinase	True
pelag14539	1	Pelagibacter_AAA795-B16_00148	Ornithine carbamoyltransferase, catabolic	True
pelag14540	1	Pelagibacter_AAA795-B16_00152	Deoxyuridine 5'-triphosphate nucleotidohydrolase	True
pelag14541	1	Pelagibacter_AAA795-B16_00158	hypothetical protein	True
pelag14542	1	Pelagibacter_AAA795-B16_00159	hypothetical protein	True
pelag14543	1	Pelagibacter_AAA795-B16_00163	hypothetical protein	True
pelag14544	1	Pelagibacter_AAA795-B16_00165	hypothetical protein	True
pelag14545	1	Pelagibacter_AAA795-B16_00168	putative isomerase YddE	True
pelag14546	1	Pelagibacter_AAA795-B16_00187	Deoxyuridine 5'-triphosphate nucleotidohydrolase	True
pelag14547	1	Pelagibacter_AAA795-B16_00261	Ribosomal RNA small subunit methyltransferase I	True
pelag14548	1	Pelagibacter_AAA795-B16_00269	hypothetical protein	True
pelag14549	1	Pelagibacter_AAA795-B16_00270	N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 4-epimerase	True
pelag14550	1	Pelagibacter_AAA795-B16_00274	Chromosome partition protein Smc	True
pelag14551	1	Pelagibacter_AAA795-B16_00278	hypothetical protein	True
pelag14552	1	Pelagibacter_AAA795-B16_00323	hypothetical protein	True
pelag14553	1	Pelagibacter_AAA795-B16_00335	hypothetical protein	True
pelag14554	1	Pelagibacter_AAA795-B16_00339	hypothetical protein	True
pelag14555	1	Pelagibacter_AAA795-B16_00356	hypothetical protein	True
pelag14556	1	Pelagibacter_AAA795-B16_00392	hypothetical protein	True
pelag14557	1	Pelagibacter_AAA795-B16_00410	hypothetical protein	True
pelag14558	1	Pelagibacter_AAA795-B16_00440	hypothetical protein	True
pelag14559	1	Pelagibacter_AAA795-B16_00528	hypothetical protein	True
pelag14560	1	Pelagibacter_AAA795-B16_00529	hypothetical protein	True
pelag14561	1	Pelagibacter_AAA795-B16_00581	hypothetical protein	True
pelag14562	1	Pelagibacter_AAA795-B16_00607	4-hydroxy-4-methyl-2-oxoglutarate aldolase/4-carboxy-4-hydroxy-2-oxoadipate aldolase	True
pelag14563	1	Pelagibacter_AAA795-B16_00610	hypothetical protein	True
pelag14564	1	Pelagibacter_AAA795-B16_00611	hypothetical protein	True
pelag14565	1	Pelagibacter_AAA795-B16_00614	hypothetical protein	True
pelag14566	1	Pelagibacter_AAA795-B16_00615	hypothetical protein	True
pelag14567	1	Pelagibacter_AAA795-C09_00015	hypothetical protein	True
pelag14568	1	Pelagibacter_AAA795-C09_00016	hypothetical protein	True
pelag14569	1	Pelagibacter_AAA795-C09_00098	Bifunctional protein GlmU	True
pelag14570	1	Pelagibacter_AAA795-C09_00150	hypothetical protein	True
pelag14571	1	Pelagibacter_AAA795-C09_00272	Sensor histidine kinase RegB	True
pelag14572	1	Pelagibacter_AAA795-C09_00358	hypothetical protein	True
pelag14573	1	Pelagibacter_AAA795-C09_00390	hypothetical protein	True
pelag14574	1	Pelagibacter_AAA795-C09_00391	hypothetical protein	True
pelag14575	1	Pelagibacter_AAA795-C09_00424	Mannosylfructose-phosphate synthase	True
pelag14576	1	Pelagibacter_AAA795-C09_00425	hypothetical protein	True
pelag14577	1	Pelagibacter_AAA795-C09_00426	hypothetical protein	True
pelag14578	1	Pelagibacter_AAA795-C09_00434	hypothetical protein	True
pelag14579	1	Pelagibacter_AAA795-C09_00448	hypothetical protein	True
pelag14580	1	Pelagibacter_AAA795-C09_00449	hypothetical protein	True
pelag14581	1	Pelagibacter_AAA795-C09_00450	Kynurenine 3-monooxygenase	True
pelag14582	1	Pelagibacter_AAA795-C09_00454	Glyceraldehyde-3-phosphate dehydrogenase	True
pelag14583	1	Pelagibacter_AAA795-C09_00455	Homoprotocatechuate catabolism bifunctional isomerase/decarboxylase	True
pelag14584	1	Pelagibacter_AAA795-C09_00457	Hydroxypyruvate reductase	True
pelag14585	1	Pelagibacter_AAA795-C09_00520	hypothetical protein	True
pelag14586	1	Pelagibacter_AAA795-C09_00531	hypothetical protein	True
pelag14587	1	Pelagibacter_AAA795-C09_00564	hypothetical protein	True
pelag14588	1	Pelagibacter_AAA795-C09_00571	hypothetical protein	True
pelag14589	1	Pelagibacter_AAA795-C09_00619	hypothetical protein	True
pelag14590	1	Pelagibacter_AAA795-C09_00708	hypothetical protein	True
pelag14591	1	Pelagibacter_AAA795-C09_00740	hypothetical protein	True
pelag14592	1	Pelagibacter_AAA795-C09_00746	hypothetical protein	True
pelag14593	1	Pelagibacter_AAA795-C10_00007	hypothetical protein	True
pelag14594	1	Pelagibacter_AAA795-C10_00008	hypothetical protein	True
pelag14595	1	Pelagibacter_AAA795-C10_00066	hypothetical protein	True
pelag14596	1	Pelagibacter_AAA795-C10_00067	hypothetical protein	True
pelag14597	1	Pelagibacter_AAA795-C10_00068	hypothetical protein	True
pelag14598	1	Pelagibacter_AAA795-C10_00109	hypothetical protein	True
pelag14599	1	Pelagibacter_AAA795-C10_00110	hypothetical protein	True
pelag14600	1	Pelagibacter_AAA795-C10_00180	hypothetical protein	True
pelag14601	1	Pelagibacter_AAA795-C10_00185	hypothetical protein	True
pelag14602	1	Pelagibacter_AAA795-C10_00186	hypothetical protein	True
pelag14603	1	Pelagibacter_AAA795-C10_00201	hypothetical protein	True
pelag14604	1	Pelagibacter_AAA795-C10_00217	hypothetical protein	True
pelag14605	1	Pelagibacter_AAA795-C10_00226	hypothetical protein	True
pelag14606	1	Pelagibacter_AAA795-C10_00254	hypothetical protein	True
pelag14607	1	Pelagibacter_AAA795-C10_00275	hypothetical protein	True
pelag14608	1	Pelagibacter_AAA795-C10_00296	hypothetical protein	True
pelag14609	1	Pelagibacter_AAA795-C10_00297	hypothetical protein	True
pelag14610	1	Pelagibacter_AAA795-C10_00350	hypothetical protein	True
pelag14611	1	Pelagibacter_AAA795-C10_00393	hypothetical protein	True
pelag14612	1	Pelagibacter_AAA795-C10_00451	hypothetical protein	True
pelag14613	1	Pelagibacter_AAA795-C10_00490	hypothetical protein	True
pelag14614	1	Pelagibacter_AAA795-D22_00005	hypothetical protein	True
pelag14615	1	Pelagibacter_AAA795-D22_00012	hypothetical protein	True
pelag14616	1	Pelagibacter_AAA795-D22_00042	putative oxidoreductase YjmC	True
pelag14617	1	Pelagibacter_AAA795-D22_00074	hypothetical protein	True
pelag14618	1	Pelagibacter_AAA795-D22_00075	hypothetical protein	True
pelag14619	1	Pelagibacter_AAA795-D22_00112	hypothetical protein	True
pelag14620	1	Pelagibacter_AAA795-D22_00138	hypothetical protein	True
pelag14621	1	Pelagibacter_AAA795-D22_00224	hypothetical protein	True
pelag14622	1	Pelagibacter_AAA795-D22_00342	hypothetical protein	True
pelag14623	1	Pelagibacter_AAA795-D22_00346	hypothetical protein	True
pelag14624	1	Pelagibacter_AAA795-D22_00349	Trans-aconitate 2-methyltransferase	True
pelag14625	1	Pelagibacter_AAA795-D22_00351	hypothetical protein	True
pelag14626	1	Pelagibacter_AAA795-D22_00352	hypothetical protein	True
pelag14627	1	Pelagibacter_AAA795-D22_00353	hypothetical protein	True
pelag14628	1	Pelagibacter_AAA795-D22_00354	hypothetical protein	True
pelag14629	1	Pelagibacter_AAA795-D22_00355	hypothetical protein	True
pelag14630	1	Pelagibacter_AAA795-D22_00356	hypothetical protein	True
pelag14631	1	Pelagibacter_AAA795-D22_00357	hypothetical protein	True
pelag14632	1	Pelagibacter_AAA795-D22_00358	hypothetical protein	True
pelag14633	1	Pelagibacter_AAA795-D22_00359	hypothetical protein	True
pelag14634	1	Pelagibacter_AAA795-D22_00360	hypothetical protein	True
pelag14635	1	Pelagibacter_AAA795-D22_00361	hypothetical protein	True
pelag14636	1	Pelagibacter_AAA795-D22_00362	hypothetical protein	True
pelag14637	1	Pelagibacter_AAA795-D22_00371	hypothetical protein	True
pelag14638	1	Pelagibacter_AAA795-D22_00374	hypothetical protein	True
pelag14639	1	Pelagibacter_AAA795-D22_00375	hypothetical protein	True
pelag14640	1	Pelagibacter_AAA795-D22_00376	hypothetical protein	True
pelag14641	1	Pelagibacter_AAA795-D22_00377	hypothetical protein	True
pelag14642	1	Pelagibacter_AAA795-D22_00378	hypothetical protein	True
pelag14643	1	Pelagibacter_AAA795-D22_00379	hypothetical protein	True
pelag14644	1	Pelagibacter_AAA795-D22_00380	hypothetical protein	True
pelag14645	1	Pelagibacter_AAA795-D22_00381	hypothetical protein	True
pelag14646	1	Pelagibacter_AAA795-D22_00382	hypothetical protein	True
pelag14647	1	Pelagibacter_AAA795-D22_00383	hypothetical protein	True
pelag14648	1	Pelagibacter_AAA795-D22_00384	hypothetical protein	True
pelag14649	1	Pelagibacter_AAA795-D22_00385	hypothetical protein	True
pelag14650	1	Pelagibacter_AAA795-D22_00386	hypothetical protein	True
pelag14651	1	Pelagibacter_AAA795-D22_00387	hypothetical protein	True
pelag14652	1	Pelagibacter_AAA795-D22_00425	hypothetical protein	True
pelag14653	1	Pelagibacter_AAA795-D22_00479	hypothetical protein	True
pelag14654	1	Pelagibacter_AAA795-D22_00481	Membrane protein insertase YidC	True
pelag14655	1	Pelagibacter_AAA795-D22_00486	Trans-aconitate 2-methyltransferase	True
pelag14656	1	Pelagibacter_AAA795-D22_00621	hypothetical protein	True
pelag14657	1	Pelagibacter_AAA795-D22_00639	hypothetical protein	True
pelag14658	1	Pelagibacter_AAA795-D22_00640	hypothetical protein	True
pelag14659	1	Pelagibacter_AAA795-D22_00647	hypothetical protein	True
pelag14660	1	Pelagibacter_AAA795-D22_00664	hypothetical protein	True
pelag14661	1	Pelagibacter_AAA795-D22_00673	hypothetical protein	True
pelag14662	1	Pelagibacter_AAA795-D22_00675	hypothetical protein	True
pelag14663	1	Pelagibacter_AAA795-D22_00680	hypothetical protein	True
pelag14664	1	Pelagibacter_AAA795-D22_00681	hypothetical protein	True
pelag14665	1	Pelagibacter_AAA795-D22_00682	hypothetical protein	True
pelag14666	1	Pelagibacter_AAA795-D22_00683	hypothetical protein	True
pelag14667	1	Pelagibacter_AAA795-D22_00895	hypothetical protein	True
pelag14668	1	Pelagibacter_AAA795-E07_00008	hypothetical protein	True
pelag14669	1	Pelagibacter_AAA795-E07_00042	hypothetical protein	True
pelag14670	1	Pelagibacter_AAA795-E07_00072	hypothetical protein	True
pelag14671	1	Pelagibacter_AAA795-E07_00073	hypothetical protein	True
pelag14672	1	Pelagibacter_AAA795-E07_00159	hypothetical protein	True
pelag14673	1	Pelagibacter_AAA795-E07_00164	hypothetical protein	True
pelag14674	1	Pelagibacter_AAA795-E07_00165	Putative pterin-4-alpha-carbinolamine dehydratase	True
pelag14675	1	Pelagibacter_AAA795-E07_00172	50S ribosomal protein L29	True
pelag14676	1	Pelagibacter_AAA795-E07_00174	hypothetical protein	True
pelag14677	1	Pelagibacter_AAA795-E07_00185	hypothetical protein	True
pelag14678	1	Pelagibacter_AAA795-E07_00187	hypothetical protein	True
pelag14679	1	Pelagibacter_AAA795-E07_00189	Demethylmenaquinone methyltransferase	True
pelag14680	1	Pelagibacter_AAA795-E07_00191	Imidazole glycerol phosphate synthase subunit HisF	True
pelag14681	1	Pelagibacter_AAA795-E07_00196	hypothetical protein	True
pelag14682	1	Pelagibacter_AAA795-E07_00197	hypothetical protein	True
pelag14683	1	Pelagibacter_AAA795-E07_00221	hypothetical protein	True
pelag14684	1	Pelagibacter_AAA795-E07_00222	hypothetical protein	True
pelag14685	1	Pelagibacter_AAA795-E07_00261	3-mercaptopyruvate sulfurtransferase	True
pelag14686	1	Pelagibacter_AAA795-E07_00271	hypothetical protein	True
pelag14687	1	Pelagibacter_AAA795-E07_00414	Ubiquinone biosynthesis O-methyltransferase	True
pelag14688	1	Pelagibacter_AAA795-E07_00419	hypothetical protein	True
pelag14689	1	Pelagibacter_AAA795-E07_00420	hypothetical protein	True
pelag14690	1	Pelagibacter_AAA795-E07_00447	hypothetical protein	True
pelag14691	1	Pelagibacter_AAA795-E07_00503	hypothetical protein	True
pelag14692	1	Pelagibacter_AAA795-E07_00504	hypothetical protein	True
pelag14693	1	Pelagibacter_AAA795-E07_00505	Modulator of FtsH protease HflK	True
pelag14694	1	Pelagibacter_AAA795-E07_00552	hypothetical protein	True
pelag14695	1	Pelagibacter_AAA795-E07_00616	hypothetical protein	True
pelag14696	1	Pelagibacter_AAA795-E07_00717	hypothetical protein	True
pelag14697	1	Pelagibacter_AAA795-E07_00753	hypothetical protein	True
pelag14698	1	Pelagibacter_AAA795-E22_00001	hypothetical protein	True
pelag14699	1	Pelagibacter_AAA795-E22_00003	Modification methylase DpnIIB	True
pelag14700	1	Pelagibacter_AAA795-E22_00029	hypothetical protein	True
pelag14701	1	Pelagibacter_AAA795-E22_00040	30S ribosomal protein S12	True
pelag14702	1	Pelagibacter_AAA795-E22_00065	hypothetical protein	True
pelag14703	1	Pelagibacter_AAA795-E22_00090	hypothetical protein	True
pelag14704	1	Pelagibacter_AAA795-E22_00093	hypothetical protein	True
pelag14705	1	Pelagibacter_AAA795-E22_00095	hypothetical protein	True
pelag14706	1	Pelagibacter_AAA795-E22_00128	50S ribosomal protein L35	True
pelag14707	1	Pelagibacter_AAA795-E22_00192	Cytochrome c-type biogenesis protein CcmF	True
pelag14708	1	Pelagibacter_AAA795-E22_00201	hypothetical protein	True
pelag14709	1	Pelagibacter_AAA795-E22_00206	hypothetical protein	True
pelag14710	1	Pelagibacter_AAA795-E22_00209	(6-4) photolyase	True
pelag14711	1	Pelagibacter_AAA795-E22_00270	hypothetical protein	True
pelag14712	1	Pelagibacter_AAA795-E22_00302	hypothetical protein	True
pelag14713	1	Pelagibacter_AAA795-E22_00384	hypothetical protein	True
pelag14714	1	Pelagibacter_AAA795-E22_00527	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase	True
pelag14715	1	Pelagibacter_AAA795-E22_00528	hypothetical protein	True
pelag14716	1	Pelagibacter_AAA795-E22_00533	3-dehydroquinate synthase	True
pelag14717	1	Pelagibacter_AAA795-E22_00537	Asparagine synthetase [glutamine-hydrolyzing] 1	True
pelag14718	1	Pelagibacter_AAA795-E22_00544	hypothetical protein	True
pelag14719	1	Pelagibacter_AAA795-E22_00545	hypothetical protein	True
pelag14720	1	Pelagibacter_AAA795-E22_00547	hypothetical protein	True
pelag14721	1	Pelagibacter_AAA795-E22_00548	hypothetical protein	True
pelag14722	1	Pelagibacter_AAA795-E22_00557	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE	True
pelag14723	1	Pelagibacter_AAA795-E22_00639	hypothetical protein	True
pelag14724	1	Pelagibacter_AAA795-E22_00646	hypothetical protein	True
pelag14725	1	Pelagibacter_AAA795-E22_00750	hypothetical protein	True
pelag14726	1	Pelagibacter_AAA795-E22_00767	hypothetical protein	True
pelag14727	1	Pelagibacter_AAA795-E22_00784	hypothetical protein	True
pelag14728	1	Pelagibacter_AAA795-E22_00815	hypothetical protein	True
pelag14729	1	Pelagibacter_AAA795-E22_00832	Glucose--fructose oxidoreductase	True
pelag14730	1	Pelagibacter_AAA795-F16_00002	Oligopeptide transport ATP-binding protein OppF	True
pelag14731	1	Pelagibacter_AAA795-F16_00006	hypothetical protein	True
pelag14732	1	Pelagibacter_AAA795-F16_00114	hypothetical protein	True
pelag14733	1	Pelagibacter_AAA795-F16_00197	hypothetical protein	True
pelag14734	1	Pelagibacter_AAA795-F16_00220	hypothetical protein	True
pelag14735	1	Pelagibacter_AAA795-F16_00221	hypothetical protein	True
pelag14736	1	Pelagibacter_AAA795-F16_00308	hypothetical protein	True
pelag14737	1	Pelagibacter_AAA795-F16_00348	hypothetical protein	True
pelag14738	1	Pelagibacter_AAA795-F16_00358	hypothetical protein	True
pelag14739	1	Pelagibacter_AAA795-F16_00360	hypothetical protein	True
pelag14740	1	Pelagibacter_AAA795-F16_00365	hypothetical protein	True
pelag14741	1	Pelagibacter_AAA795-F16_00366	hypothetical protein	True
pelag14742	1	Pelagibacter_AAA795-F16_00389	hypothetical protein	True
pelag14743	1	Pelagibacter_AAA795-F16_00391	hypothetical protein	True
pelag14744	1	Pelagibacter_AAA795-F16_00392	hypothetical protein	True
pelag14745	1	Pelagibacter_AAA795-F16_00403	hypothetical protein	True
pelag14746	1	Pelagibacter_AAA795-F16_00405	3-oxoacyl-[acyl-carrier-protein] reductase FabG	True
pelag14747	1	Pelagibacter_AAA795-F16_00418	hypothetical protein	True
pelag14748	1	Pelagibacter_AAA795-F16_00571	hypothetical protein	True
pelag14749	1	Pelagibacter_AAA795-F16_00674	hypothetical protein	True
pelag14750	1	Pelagibacter_AAA795-F16_00684	Fimbrial protein	True
pelag14751	1	Pelagibacter_AAA795-F16_00690	Fimbrial protein	True
pelag14752	1	Pelagibacter_AAA795-F16_00693	hypothetical protein	True
pelag14753	1	Pelagibacter_AAA795-F16_00694	hypothetical protein	True
pelag14754	1	Pelagibacter_AAA795-F16_00717	hypothetical protein	True
pelag14755	1	Pelagibacter_AAA795-F16_00773	hypothetical protein	True
pelag14756	1	Pelagibacter_AAA795-F16_00778	hypothetical protein	True
pelag14757	1	Pelagibacter_AAA795-F16_00781	hypothetical protein	True
pelag14758	1	Pelagibacter_AAA795-F16_00785	hypothetical protein	True
pelag14759	1	Pelagibacter_AAA795-F16_00803	hypothetical protein	True
pelag14760	1	Pelagibacter_AAA795-F16_00814	hypothetical protein	True
pelag14761	1	Pelagibacter_AAA795-F16_00815	hypothetical protein	True
pelag14762	1	Pelagibacter_AAA795-F16_00943	hypothetical protein	True
pelag14763	1	Pelagibacter_AAA795-G15_00004	hypothetical protein	True
pelag14764	1	Pelagibacter_AAA795-G15_00005	hypothetical protein	True
pelag14765	1	Pelagibacter_AAA795-G15_00008	hypothetical protein	True
pelag14766	1	Pelagibacter_AAA795-G15_00010	hypothetical protein	True
pelag14767	1	Pelagibacter_AAA795-G15_00011	hypothetical protein	True
pelag14768	1	Pelagibacter_AAA795-G15_00012	hypothetical protein	True
pelag14769	1	Pelagibacter_AAA795-G15_00014	hypothetical protein	True
pelag14770	1	Pelagibacter_AAA795-G15_00015	hypothetical protein	True
pelag14771	1	Pelagibacter_AAA795-G15_00016	hypothetical protein	True
pelag14772	1	Pelagibacter_AAA795-G15_00017	hypothetical protein	True
pelag14773	1	Pelagibacter_AAA795-G15_00030	hypothetical protein	True
pelag14774	1	Pelagibacter_AAA795-G15_00031	hypothetical protein	True
pelag14775	1	Pelagibacter_AAA795-G15_00032	3-oxoacyl-[acyl-carrier-protein] synthase 1	True
pelag14776	1	Pelagibacter_AAA795-G15_00059	DNA polymerase I	True
pelag14777	1	Pelagibacter_AAA795-G15_00060	hypothetical protein	True
pelag14778	1	Pelagibacter_AAA795-G15_00062	ATP-dependent DNA helicase PcrA	True
pelag14779	1	Pelagibacter_AAA795-G15_00068	hypothetical protein	True
pelag14780	1	Pelagibacter_AAA795-G15_00069	hypothetical protein	True
pelag14781	1	Pelagibacter_AAA795-G15_00070	hypothetical protein	True
pelag14782	1	Pelagibacter_AAA795-G15_00153	Malate synthase G	True
pelag14783	1	Pelagibacter_AAA795-G15_00155	sn-glycerol-3-phosphate import ATP-binding protein UgpC	True
pelag14784	1	Pelagibacter_AAA795-G15_00170	ATP synthase subunit beta	True
pelag14785	1	Pelagibacter_AAA795-G15_00179	hypothetical protein	True
pelag14786	1	Pelagibacter_AAA795-G15_00180	hypothetical protein	True
pelag14787	1	Pelagibacter_AAA795-G15_00181	hypothetical protein	True
pelag14788	1	Pelagibacter_AAA795-G15_00182	hypothetical protein	True
pelag14789	1	Pelagibacter_AAA795-G15_00183	hypothetical protein	True
pelag14790	1	Pelagibacter_AAA795-G15_00184	hypothetical protein	True
pelag14791	1	Pelagibacter_AAA795-G15_00185	hypothetical protein	True
pelag14792	1	Pelagibacter_AAA795-G15_00207	hypothetical protein	True
pelag14793	1	Pelagibacter_AAA795-G15_00231	hypothetical protein	True
pelag14794	1	Pelagibacter_AAA795-G15_00232	hypothetical protein	True
pelag14795	1	Pelagibacter_AAA795-G15_00245	putative CtpA-like serine protease	True
pelag14796	1	Pelagibacter_AAA795-G15_00247	hypothetical protein	True
pelag14797	1	Pelagibacter_AAA795-G15_00248	hypothetical protein	True
pelag14798	1	Pelagibacter_AAA795-G15_00249	hypothetical protein	True
pelag14799	1	Pelagibacter_AAA795-G15_00250	hypothetical protein	True
pelag14800	1	Pelagibacter_AAA795-G15_00251	hypothetical protein	True
pelag14801	1	Pelagibacter_AAA795-G15_00252	hypothetical protein	True
pelag14802	1	Pelagibacter_AAA795-G15_00253	hypothetical protein	True
pelag14803	1	Pelagibacter_AAA795-G15_00254	hypothetical protein	True
pelag14804	1	Pelagibacter_AAA795-G15_00256	hypothetical protein	True
pelag14805	1	Pelagibacter_AAA795-G15_00257	hypothetical protein	True
pelag14806	1	Pelagibacter_AAA795-G15_00261	hypothetical protein	True
pelag14807	1	Pelagibacter_AAA795-G15_00262	DNA polymerase I	True
pelag14808	1	Pelagibacter_AAA795-G15_00264	hypothetical protein	True
pelag14809	1	Pelagibacter_AAA795-G15_00266	hypothetical protein	True
pelag14810	1	Pelagibacter_AAA795-G15_00268	hypothetical protein	True
pelag14811	1	Pelagibacter_AAA795-G15_00269	hypothetical protein	True
pelag14812	1	Pelagibacter_AAA795-G15_00271	PKHD-type hydroxylase	True
pelag14813	1	Pelagibacter_AAA795-G15_00272	hypothetical protein	True
pelag14814	1	Pelagibacter_AAA795-G15_00274	hypothetical protein	True
pelag14815	1	Pelagibacter_AAA795-G15_00275	hypothetical protein	True
pelag14816	1	Pelagibacter_AAA795-G15_00278	hypothetical protein	True
pelag14817	1	Pelagibacter_AAA795-G15_00279	Tyrosine recombinase XerC	True
pelag14818	1	Pelagibacter_AAA795-G15_00300	SPBc2 prophage-derived aminoglycoside N(3')-acetyltransferase-like protein YokD	True
pelag14819	1	Pelagibacter_AAA795-G15_00302	hypothetical protein	True
pelag14820	1	Pelagibacter_AAA795-G15_00319	hypothetical protein	True
pelag14821	1	Pelagibacter_AAA795-G15_00320	hypothetical protein	True
pelag14822	1	Pelagibacter_AAA795-G15_00321	hypothetical protein	True
pelag14823	1	Pelagibacter_AAA795-G15_00322	hypothetical protein	True
pelag14824	1	Pelagibacter_AAA795-G15_00323	hypothetical protein	True
pelag14825	1	Pelagibacter_AAA795-G15_00325	hypothetical protein	True
pelag14826	1	Pelagibacter_AAA795-G15_00326	hypothetical protein	True
pelag14827	1	Pelagibacter_AAA795-G15_00327	hypothetical protein	True
pelag14828	1	Pelagibacter_AAA795-G15_00346	hypothetical protein	True
pelag14829	1	Pelagibacter_AAA795-G15_00347	hypothetical protein	True
pelag14830	1	Pelagibacter_AAA795-G15_00348	hypothetical protein	True
pelag14831	1	Pelagibacter_AAA795-G15_00349	hypothetical protein	True
pelag14832	1	Pelagibacter_AAA795-G15_00350	hypothetical protein	True
pelag14833	1	Pelagibacter_AAA795-G15_00351	hypothetical protein	True
pelag14834	1	Pelagibacter_AAA795-G15_00352	hypothetical protein	True
pelag14835	1	Pelagibacter_AAA797-I19_00027	hypothetical protein	True
pelag14836	1	Pelagibacter_AAA797-I19_00091	hypothetical protein	True
pelag14837	1	Pelagibacter_AAA797-I19_00191	hypothetical protein	True
pelag14838	1	Pelagibacter_AAA797-I19_00205	hypothetical protein	True
pelag14839	1	Pelagibacter_AAA797-I19_00210	hypothetical protein	True
pelag14840	1	Pelagibacter_AAA797-I19_00214	UDP-N-acetylglucosamine 2-epimerase	True
pelag14841	1	Pelagibacter_AAA797-I19_00225	hypothetical protein	True
pelag14842	1	Pelagibacter_AAA797-I19_00226	hypothetical protein	True
pelag14843	1	Pelagibacter_AAA797-I19_00229	Glycosyltransferase Gtf1	True
pelag14844	1	Pelagibacter_AAA797-I19_00230	hypothetical protein	True
pelag14845	1	Pelagibacter_AAA797-I19_00234	Methionyl-tRNA formyltransferase	True
pelag14846	1	Pelagibacter_AAA797-I19_00236	hypothetical protein	True
pelag14847	1	Pelagibacter_AAA797-I19_00237	hypothetical protein	True
pelag14848	1	Pelagibacter_AAA797-I19_00238	hypothetical protein	True
pelag14849	1	Pelagibacter_AAA797-I19_00240	Putative mycofactocin radical SAM maturase MftC	True
pelag14850	1	Pelagibacter_AAA797-I19_00241	hypothetical protein	True
pelag14851	1	Pelagibacter_AAA797-I19_00242	Ubiquinone biosynthesis O-methyltransferase	True
pelag14852	1	Pelagibacter_AAA797-I19_00243	hypothetical protein	True
pelag14853	1	Pelagibacter_AAA797-I19_00245	hypothetical protein	True
pelag14854	1	Pelagibacter_AAA797-I19_00246	GDP-L-fucose synthase	True
pelag14855	1	Pelagibacter_AAA797-I19_00248	hypothetical protein	True
pelag14856	1	Pelagibacter_AAA797-I19_00314	hypothetical protein	True
pelag14857	1	Pelagibacter_AAA797-I19_00540	hypothetical protein	True
pelag14858	1	Pelagibacter_AAA797-I19_00635	hypothetical protein	True
pelag14859	1	Pelagibacter_AAA797-I19_00798	Cadmium-induced protein CadI	True
pelag14860	1	Pelagibacter_AAA797-I19_00800	hypothetical protein	True
pelag14861	1	Pelagibacter_AAA797-I19_00801	hypothetical protein	True
pelag14862	1	Pelagibacter_AAA797-I19_00808	hypothetical protein	True
pelag14863	1	Pelagibacter_AAA797-I19_00809	hypothetical protein	True
pelag14864	1	Pelagibacter_AAA797-I19_00815	hypothetical protein	True
pelag14865	1	Pelagibacter_AAA797-I19_00817	hypothetical protein	True
pelag14866	1	Pelagibacter_AAA797-I19_00833	hypothetical protein	True
pelag14867	1	Pelagibacter_AAA797-I19_00873	putative allantoin permease	True
pelag14868	1	Pelagibacter_AAA797-I19_00961	hypothetical protein	True
pelag14869	1	Pelagibacter_AAA797-I19_00979	hypothetical protein	True
pelag14870	1	Pelagibacter_AAA797-I19_00980	hypothetical protein	True
pelag14871	1	Pelagibacter_AAA797-I19_01085	hypothetical protein	True
pelag14872	1	Pelagibacter_AAA797-I19_01089	hypothetical protein	True
pelag14873	1	Pelagibacter_AAA795-J21_00043	hypothetical protein	True
pelag14874	1	Pelagibacter_AAA795-J21_00053	hypothetical protein	True
pelag14875	1	Pelagibacter_AAA795-J21_00098	hypothetical protein	True
pelag14876	1	Pelagibacter_AAA795-J21_00099	hypothetical protein	True
pelag14877	1	Pelagibacter_AAA795-J21_00100	hypothetical protein	True
pelag14878	1	Pelagibacter_AAA795-J21_00101	hypothetical protein	True
pelag14879	1	Pelagibacter_AAA795-J21_00106	hypothetical protein	True
pelag14880	1	Pelagibacter_AAA795-J21_00215	hypothetical protein	True
pelag14881	1	Pelagibacter_AAA795-J21_00221	hypothetical protein	True
pelag14882	1	Pelagibacter_AAA795-J21_00222	hypothetical protein	True
pelag14883	1	Pelagibacter_AAA795-J21_00226	hypothetical protein	True
pelag14884	1	Pelagibacter_AAA795-J21_00302	hypothetical protein	True
pelag14885	1	Pelagibacter_AAA795-J21_00315	hypothetical protein	True
pelag14886	1	Pelagibacter_AAA795-J21_00320	hypothetical protein	True
pelag14887	1	Pelagibacter_AAA795-J21_00321	dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucopyranose	True
pelag14888	1	Pelagibacter_AAA795-J21_00333	hypothetical protein	True
pelag14889	1	Pelagibacter_AAA795-J21_00340	hypothetical protein	True
pelag14890	1	Pelagibacter_AAA795-J21_00538	hypothetical protein	True
pelag14891	1	Pelagibacter_AAA795-J21_00585	hypothetical protein	True
